start	duration	text
5.180	0.010	recording oh great okay then thank you
5.190	1.909	recording oh great okay then thank you everyone for joining us again to that
7.099	0.010	everyone for joining us again to that
7.109	2.270	everyone for joining us again to that sizing later we are going to be talking
9.379	0.010	sizing later we are going to be talking
9.389	2.511	sizing later we are going to be talking about access permissions for a github
11.900	0.010	about access permissions for a github
11.910	3.889	about access permissions for a github organization to motivate this store got
15.799	0.010	organization to motivate this store got
15.809	2.210	organization to motivate this store got to try kind of explain what I mean by
18.019	0.010	to try kind of explain what I mean by
18.029	2.031	to try kind of explain what I mean by ideas let me present you with the
20.060	0.010	ideas let me present you with the
20.070	1.940	ideas let me present you with the following situation so say that you want
22.010	0.010	following situation so say that you want
22.020	1.669	following situation so say that you want to propose changes to a source
23.689	0.010	to propose changes to a source
23.699	2.601	to propose changes to a source repository maybe to repository in our
26.300	0.010	repository maybe to repository in our
26.310	2.299	repository maybe to repository in our organization to the Greece University
28.609	0.010	organization to the Greece University
28.619	3.831	organization to the Greece University and so you know we start with the use of
32.450	0.010	and so you know we start with the use of
32.460	3.679	and so you know we start with the use of clam being we said you know the Forks
36.139	0.010	clam being we said you know the Forks
36.149	2.060	clam being we said you know the Forks and local clones and all of that which
38.209	0.010	and local clones and all of that which
38.219	1.400	and local clones and all of that which we could do if we wanted with the
39.619	0.010	we could do if we wanted with the
39.629	1.701	we could do if we wanted with the Huestis package with the function for
41.330	0.010	Huestis package with the function for
41.340	1.279	Huestis package with the function for example create from github
42.619	0.010	example create from github
42.629	2.961	example create from github then we initiate a pull request and
45.590	0.010	then we initiate a pull request and
45.600	2.000	then we initiate a pull request and start working on it and we could do that
47.600	0.010	start working on it and we could do that
47.610	1.640	start working on it and we could do that again with a useless package with a
49.250	0.010	again with a useless package with a
49.260	2.929	again with a useless package with a function and then you know what we want
52.189	0.010	function and then you know what we want
52.199	1.731	function and then you know what we want when we finish our work we know we
53.930	0.010	when we finish our work we know we
53.940	3.490	when we finish our work we know we synchronize our for our local Fork and
57.430	0.010	synchronize our for our local Fork and
57.440	2.870	synchronize our for our local Fork and with for example the function P our sink
60.310	0.010	with for example the function P our sink
60.320	2.279	with for example the function P our sink and then we push our committee with the
62.599	0.010	and then we push our committee with the
62.609	1.911	and then we push our committee with the function P R push so that should all
64.520	0.010	function P R push so that should all
64.530	3.140	function P R push so that should all work well here there is a description of
67.670	0.010	work well here there is a description of
67.680	2.330	work well here there is a description of you know what I mean by all of these
70.010	0.010	you know what I mean by all of these
70.020	2.420	you know what I mean by all of these steps but I'm going to skip that in the
72.440	0.010	steps but I'm going to skip that in the
72.450	1.850	steps but I'm going to skip that in the interest of time but I wanted to leave
74.300	0.010	interest of time but I wanted to leave
74.310	2.270	interest of time but I wanted to leave that in a record in this presentation so
76.580	0.010	that in a record in this presentation so
76.590	2.659	that in a record in this presentation so people can go back to it but then let's
79.249	0.010	people can go back to it but then let's
79.259	3.081	people can go back to it but then let's suppose that something goes wrong you
82.340	0.010	suppose that something goes wrong you
82.350	1.880	suppose that something goes wrong you shouldn't go wrong if we use a system
84.230	0.010	shouldn't go wrong if we use a system
84.240	2.990	shouldn't go wrong if we use a system like we use this package but but it
87.230	0.010	like we use this package but but it
87.240	3.140	like we use this package but but it can't go wrong if we don't and I do it
90.380	0.010	can't go wrong if we don't and I do it
90.390	2.840	can't go wrong if we don't and I do it all the time unfortunately so I usually
93.230	0.010	all the time unfortunately so I usually
93.240	2.060	all the time unfortunately so I usually forget to do two things for example I
95.300	0.010	forget to do two things for example I
95.310	3.170	forget to do two things for example I forget to copy the URL that points to my
98.480	0.010	forget to copy the URL that points to my
98.490	3.740	forget to copy the URL that points to my fork and instead I sometimes copy the
102.230	0.010	fork and instead I sometimes copy the
102.240	3.020	fork and instead I sometimes copy the URL that points to the source repo and
105.260	0.010	URL that points to the source repo and
105.270	1.760	URL that points to the source repo and another mistake that I make is sometimes
107.030	0.010	another mistake that I make is sometimes
107.040	2.690	another mistake that I make is sometimes creating basically to start committing
109.730	0.010	creating basically to start committing
109.740	2.780	creating basically to start committing off the master branch instead of
112.520	0.010	off the master branch instead of
112.530	2.240	off the master branch instead of creating a branch for the pull request
114.770	0.010	creating a branch for the pull request
114.780	1.789	creating a branch for the pull request so those are things that I kind of found
116.569	0.010	so those are things that I kind of found
116.579	2.801	so those are things that I kind of found my culture cut myself to it many times
119.380	0.010	my culture cut myself to it many times
119.390	2.370	my culture cut myself to it many times particularly before I started using the
121.760	0.010	particularly before I started using the
121.770	3.280	particularly before I started using the use dispatch so when those things happen
125.050	0.010	use dispatch so when those things happen
125.060	3.389	use dispatch so when those things happen then the question is what could happen
