playlist_index,title,id,view_count,like_count,comment_count,upload_date,upload_date_iso,duration,duration_string,channel,uploader,url
1,How to download a file from google drive into your R IDE,iNWBG3x4QVc,251,2,0,20240719,2024-07-19,258,4:18,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=iNWBG3x4QVc
2,The  simplest way to run multiple R sessions in the same IDE,bR0RYYwiDRM,615,5,1,20240719,2024-07-19,142,2:22,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=bR0RYYwiDRM
3,Creating an empty R package up to the best standards,AFuVF0oWFMY,126,1,0,20240716,2024-07-16,1415,23:35,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=AFuVF0oWFMY
4,Continuously build and deploy a shiny app on Google Cloud Run,PRKOMCCOlI0,688,12,2,20240705,2024-07-05,1028,17:08,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=PRKOMCCOlI0
5,`gh pr` allows you to work with GitHub pull requests from your terminal,EaJqUQkDo48,549,2,0,20240705,2024-07-05,163,2:43,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=EaJqUQkDo48
6,gh  repo create and gh browse to create and browse a GitHub repo from the terminal,q-hsaxVA1kc,357,2,0,20240703,2024-07-03,75,1:15,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=q-hsaxVA1kc
7,dbt structure,gGXwszGqZxM,40,,0,20240624,2024-06-24,406,6:46,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=gGXwszGqZxM
8,dbt usage,nL3Qr7bvlg4,32,1,0,20240623,2024-06-23,263,4:23,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=nL3Qr7bvlg4
9,dbt installation,QxgEn2fwIOk,76,1,0,20240622,2024-06-22,183,3:03,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=QxgEn2fwIOk
10,dbt overview,WmzqpTZtFAw,17,,0,20240621,2024-06-21,234,3:54,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=WmzqpTZtFAw
11,Avoid recomputing if you can! Instead memoise,GDgir1XXOkw,43,3,0,20240606,2024-06-06,118,1:58,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=GDgir1XXOkw
12,A systematic debugging workflow,AUIJif93OJA,64,,0,20240604,2024-06-04,493,8:13,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=AUIJif93OJA
13,Suggest/commit changes directly on a GitHub PR,ciJpIWs3t3k,7007,15,1,20240604,2024-06-04,82,1:22,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=ciJpIWs3t3k
14,ds databricks4r: Databricks for RStudio users,-HTH2ylnT7Q,1166,10,1,20231022,2023-10-22,2581,43:01,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=-HTH2ylnT7Q
15,ds.production: From an MVP to production,5wHl9N4fBBU,87,1,0,20230617,2023-06-17,2215,36:55,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=5wHl9N4fBBU
16,ds.database: Using a Relational Database Management System (RDBMS),H9lARi3re9I,335,3,0,20220927,2022-09-27,957,15:57,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=H9lARi3re9I
17,ds.database: Validate data quality,Ulz8Vfnr2P4,107,1,0,20220920,2022-09-20,1621,27:01,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=Ulz8Vfnr2P4
18,ds.database: Relational data with the dm package,DeLK1OKNQlw,251,1,0,20220913,2022-09-13,1456,24:16,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=DeLK1OKNQlw
19,ds.database: Relational data with dplyr,qvQ_YmyjK0U,126,3,0,20220830,2022-08-30,1550,25:50,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=qvQ_YmyjK0U
20,Project management on GitHub,qqKhQdejUOM,8727,121,5,20220823,2022-08-23,1886,31:26,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=qqKhQdejUOM
21,Data science on a chromebook,uDx9NkoBqv8,875,10,2,20220816,2022-08-16,1134,18:54,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=uDx9NkoBqv8
22,ds.tmux,00i28kdk8cM,88,3,0,20220808,2022-08-08,1048,17:28,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=00i28kdk8cM
23,ds.rpy: Running Python code from RStudio,moAei68dxr0,373,4,0,20220726,2022-07-26,1622,27:02,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=moAei68dxr0
24,cloud: More ways to move data,VRG95a4aBW4,30,,0,20220712,2022-07-12,1717,28:37,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=VRG95a4aBW4
25,cloud: move data between a server and GitHub with the gh CLI,mamqEBZpbtw,41,,0,20220628,2022-06-28,1740,29:00,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=mamqEBZpbtw
26,cloud: Resize data storage and share data with pins,yldd8trFbaQ,22,,0,20220621,2022-06-21,1459,24:19,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=yldd8trFbaQ
27,cloud: Use case -- host shiny apps,JdFA31-vJUE,115,4,1,20220614,2022-06-14,1678,27:58,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=JdFA31-vJUE
28,cloud: Use cases,NF7HPKt55Yk,25,,0,20220607,2022-06-07,1675,27:55,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=NF7HPKt55Yk
29,cloud: Introduction to cloud computing,_pBqBfjTKI4,39,2,0,20220531,2022-05-31,1827,30:27,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=_pBqBfjTKI4
30,terminal. Running commands as administrator,NuXgJtl9QDw,37,,0,20220524,2022-05-24,1083,18:03,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=NuXgJtl9QDw
32,terminal: Create a custom command as a user in a multi-user system,jyBv5ITO718,16,,0,20220517,2022-05-17,2013,33:33,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=jyBv5ITO718
33,terminal: Find things,iYlKc0BTjBk,45,1,0,20220510,2022-05-10,1074,17:54,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=iYlKc0BTjBk
