playlist_index,title,id,view_count,like_count,comment_count,upload_date,upload_date_iso,duration,duration_string,channel,uploader,url
1,Git Worktree-First Workflow + Conductor | Barret Schloerke | Data Science Lab,6WaRXXxl6g4,1480,12,2,20260827,2026-08-27,3449,57:29,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=6WaRXXxl6g4
2,"Data Science Side Projects | Dylan Poulsen, Libby Heeren, Isabella Velasquez | Data Science Lab",yXYGhRCSEL4,474,18,0,20260727,2026-07-27,3324,55:24,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=yXYGhRCSEL4
3,Live TidyTuesday Data Viz Workflow | Nicola Rennie | Data Science Lab,hrRU2C5r5kA,1088,42,0,20260724,2026-07-24,3117,51:57,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=hrRU2C5r5kA
4,Mind-Blowing Quarto Slide Extensions 💬 🖍️ 🤯 | Emil Hvitfeldt | Data Science Lab,vQbhFORULJc,3725,103,6,20260723,2026-07-23,3361,56:01,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=vQbhFORULJc
5,What are AI agent skills? How do I use them? | Garrick Aden-Buie | Data Science Lab,ml3jZ4YFB_g,1536,41,4,20260624,2026-06-24,3438,57:18,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=ml3jZ4YFB_g
6,"Data dictionaries, parquet, & Claude | Hadley Wickham | Data Science Lab",jVqArueBFqA,5307,139,8,20260623,2026-06-23,3510,58:30,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=jVqArueBFqA
7,Async & Parallel R with {mirai} | Charlie Gao | Data Science Lab,Vf_jmY1tMWo,1375,50,4,20260529,2026-05-29,3448,57:28,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=Vf_jmY1tMWo
8,"Fun data science side projects | Damie Pak, Mark Rieke, & Sam Parmar | Data Science Lab",tFBDWLZpJuA,465,14,2,20260520,2026-05-20,3263,54:23,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=tFBDWLZpJuA
9,YOU can contribute to base R! | Ella Kaye | Data Science Lab,Vf5Irv-zWl8,484,17,3,20260518,2026-05-18,3444,57:24,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=Vf5Irv-zWl8
10,Claude Code without typing anything 🤷🏻‍♂️ | Joey Marshall | Data Science Lab,t146uZt-dP4,1733,44,3,20260430,2026-04-30,3297,54:57,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=t146uZt-dP4
11,How to contribute to TidyTuesday by curating a dataset | Jon Harmon | Data Science Lab,W9yiDm8Y8tA,364,13,0,20260420,2026-04-20,3449,57:29,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=W9yiDm8Y8tA
12,Behind the scenes of tidyverse development: new dplyr functions | Davis Vaughan | Data Science Lab,BodTJqx05Ws,2757,67,13,20260323,2026-03-23,3342,55:42,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=BodTJqx05Ws
13,Analyzing a TidyTuesday dataset with Posit Assistant in RStudio | Hadley Wickham | Data Science Lab,N_oT_8xVRXg,3700,81,4,20260320,2026-03-20,3362,56:02,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=N_oT_8xVRXg
14,How to use Positron's GitHub integration | Isabella Velásquez & Libby Heeren | Data Science Lab,JTv4IbFzI7M,1761,41,2,20260318,2026-03-18,3268,54:28,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=JTv4IbFzI7M
15,Data analysis with Posit AI-assistants | Sara Altman & Simon Couch | Data Science Lab,zYCAz88WjHc,2335,51,4,20260312,2026-03-12,3285,54:45,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=zYCAz88WjHc
16,The mall package: using LLMs with data frames in R & Python | Edgar Ruiz | Data Science Lab,ZNHNVWUMTJA,1343,33,2,20260310,2026-03-10,3242,54:02,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=ZNHNVWUMTJA
17,Using R package structure for data science projects | Kylie Ainslie | Data Science Lab,w1YmNcW19oI,1747,43,3,20260219,2026-02-19,3324,55:24,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=w1YmNcW19oI
18,Positron workflows that make life easier | Andrew Heiss | Data Science Lab,kqYbJoebrwE,3492,78,3,20260218,2026-02-18,3422,57:02,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=kqYbJoebrwE
19,What even is dbt? An Analytics engineer explains | Laurie Merrell & Michael Chow | Data Science Lab,f7_WwFmlslo,1772,41,7,20260130,2026-01-30,3546,59:06,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=f7_WwFmlslo
20,Inspecting websites to find JSON data APIs | Marcos Huerta | Data Science Lab,LDHGENv1NP4,1204,47,0,20260126,2026-01-26,3286,54:46,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=LDHGENv1NP4
21,How to deploy Shiny apps in 2026 | Alex Chisholm | Data Science Lab,O4AFJT4A858,3263,90,0,20260115,2026-01-15,3320,55:20,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=O4AFJT4A858
22,Advent of Code for R users | Emil Hvitfeldt | Data Science Lab,e4SHN7iaddE,1503,34,3,20260112,2026-01-12,3241,54:01,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=e4SHN7iaddE
23,Exploring Positron settings | Isabel Zimmerman & Davis Vaughan | Data Science Lab,QIYyeuZ_ISY,3313,77,1,20260107,2026-01-07,3212,53:32,Posit PBC,Posit PBC,https://www.youtube.com/watch?v=QIYyeuZ_ISY
