2.79	0.01	today the ds incubator starts a new
2.80	3.67	today the ds incubator starts a new series and it is about working with
6.47	0.01	series and it is about working with
6.48	3.51	series and it is about working with docker mostly for reproducible research
9.99	0.01	docker mostly for reproducible research
10.00	0.95	docker mostly for reproducible research and
10.95	0.01	and
10.96	1.83	and basically to to develop
12.79	0.01	basically to to develop
12.80	2.31	basically to to develop software and to
15.11	0.01	software and to
15.12	1.99	software and to use software analyze
17.11	0.01	use software analyze
17.12	1.19	use software analyze data
18.31	0.01	data
18.32	2.39	data with software but not so much the focus
20.71	0.01	with software but not so much the focus
20.72	1.99	with software but not so much the focus is not going to be on how you can build
22.71	0.01	is not going to be on how you can build
22.72	1.83	is not going to be on how you can build docker images yourself
24.55	0.01	docker images yourself
24.56	2.47	docker images yourself that is a whole thing on itself
27.03	0.01	that is a whole thing on itself
27.04	3.03	that is a whole thing on itself it is going to be the focus on using
30.07	0.01	it is going to be the focus on using
30.08	2.15	it is going to be the focus on using images that some other people have used
32.23	0.01	images that some other people have used
32.24	1.91	images that some other people have used have a build already
34.15	0.01	have a build already
34.16	0.87	have a build already and
35.03	0.01	and
35.04	2.95	and basically the big wins so how we can use
37.99	0.01	basically the big wins so how we can use
38.00	1.67	basically the big wins so how we can use that tool
39.67	0.01	that tool
39.68	2.39	that tool to enhance what we do
42.07	0.01	to enhance what we do
42.08	2.71	to enhance what we do every day so my um
44.79	0.01	every day so my um
44.80	2.39	every day so my um [Music]
47.19	0.01	[Music]
47.20	2.39	[Music] idea was mostly to cover
49.59	0.01	idea was mostly to cover
49.60	2.39	idea was mostly to cover some of the very useful images that a
51.99	0.01	some of the very useful images that a
52.00	2.07	some of the very useful images that a project called rocker provides which is
54.07	0.01	project called rocker provides which is
54.08	3.35	project called rocker provides which is a word smashed between docker and r so
57.43	0.01	a word smashed between docker and r so
57.44	2.31	a word smashed between docker and r so docker images for r
59.75	0.01	docker images for r
59.76	0.95	docker images for r and
60.71	0.01	and
60.72	1.83	and and also i understand that i'm
62.55	0.01	and also i understand that i'm
62.56	2.07	and also i understand that i'm relatively new to docker i read a couple
64.63	0.01	relatively new to docker i read a couple
64.64	1.59	relatively new to docker i read a couple of books and i've been trying it for a
66.23	0.01	of books and i've been trying it for a
66.24	1.75	of books and i've been trying it for a few times but it's not i'm not as
67.99	0.01	few times but it's not i'm not as
68.00	1.75	few times but it's not i'm not as experienced with docker as i am with
69.75	0.01	experienced with docker as i am with
69.76	1.27	experienced with docker as i am with other tools
71.03	0.01	other tools
71.04	2.31	other tools so luckily we have alex here in the
73.35	0.01	so luckily we have alex here in the
73.36	2.63	so luckily we have alex here in the series who is gonna be my support it's
75.99	0.01	series who is gonna be my support it's
