start	duration	text
3.990	0.010	this video shows how to control where
4.000	4.230	this video shows how to control where your packages go and specifically how to
8.230	0.010	your packages go and specifically how to
8.240	2.630	your packages go and specifically how to set up a custom user library
10.870	0.010	set up a custom user library
10.880	3.350	set up a custom user library this is an extension of a meetup
14.230	0.010	this is an extension of a meetup
14.240	2.150	this is an extension of a meetup of the ds incubator that covers the
16.390	0.010	of the ds incubator that covers the
16.400	2.869	of the ds incubator that covers the topic but it stops at
19.269	0.010	topic but it stops at
19.279	2.231	topic but it stops at how to work with a temporary library
21.510	0.010	how to work with a temporary library
21.520	2.310	how to work with a temporary library because that is a more general use case
23.830	0.010	because that is a more general use case
23.840	2.230	because that is a more general use case the idea of setting up a custom user
26.070	0.010	the idea of setting up a custom user
26.080	2.070	the idea of setting up a custom user library may come
28.150	0.010	library may come
28.160	0.949	library may come useful
29.109	0.010	useful
29.119	2.070	useful occasionally but not so much that i
31.189	0.010	occasionally but not so much that i
31.199	2.071	occasionally but not so much that i think it's not worth um using that
33.270	0.010	think it's not worth um using that
33.280	2.390	think it's not worth um using that timing it is a greater life but here i
35.670	0.010	timing it is a greater life but here i
35.680	2.709	timing it is a greater life but here i will leave a record and leave a video in
38.389	0.010	will leave a record and leave a video in
38.399	2.231	will leave a record and leave a video in the um youtube list so that if you are
40.630	0.010	the um youtube list so that if you are
40.640	2.069	the um youtube list so that if you are interested to do that you know how to do
42.709	0.010	interested to do that you know how to do
42.719	0.951	interested to do that you know how to do it
43.670	0.010	it
43.680	3.590	it again this is part of the bigger uh of
47.270	0.010	again this is part of the bigger uh of
47.280	0.789	again this is part of the bigger uh of the
48.069	0.010	the
48.079	2.950	the series of the ds incubator about the
51.029	0.010	series of the ds incubator about the
51.039	1.990	series of the ds incubator about the book what they forgot to teach you about
53.029	0.010	book what they forgot to teach you about
53.039	1.030	book what they forgot to teach you about are
54.069	0.010	are
54.079	1.271	are so the
55.350	0.010	so the
55.360	1.509	so the normally when you install another
56.869	0.010	normally when you install another
56.879	2.190	normally when you install another package say that you install it with
59.069	0.010	package say that you install it with
