start	duration	text
0.16	5.36	welcome again to the ds incubator today
2.80	5.20	we are talking about project management
5.52	4.72	on github the goal is
8.00	4.64	let me close the door so the noise comes
10.24	5.04	through a little better
12.64	5.68	the goal is to basically show that we
15.28	6.24	can manage projects with github
18.32	6.40	with very little overhead and the the
21.52	5.28	focus is mostly project managers and
24.72	3.28	that manage projects that have some
26.80	2.80	aspect
28.00	4.08	involving github
29.60	5.60	because most of the code
32.08	5.36	lives on github around the globe and if
35.20	4.80	the code is already there
37.44	3.84	maybe it makes sense to use that
40.00	2.96	platform
41.28	5.04	as a tool to manage the projects
42.96	5.76	themselves so we don't need to use any
46.32	4.64	extra and maybe complicated
48.72	3.76	piece of software to manage the projects
50.96	3.28	basically the idea is to keep it as
52.48	3.52	simple as possible to keep it super
54.24	4.96	super simple
56.00	5.92	so the objectives today um
59.20	4.48	are the following idea is to you know
61.92	3.84	learn the basics about project
63.68	4.24	management on github but we're gonna be
65.76	4.08	doing that from two perspectives the
67.92	3.92	very first perspective is the one that's
69.84	4.08	gonna take up most of the meet up and
71.84	4.64	that is the perspective of a project
73.92	5.04	manager who may or may not be the same
76.48	4.96	person that actually develops the
78.96	4.56	project or analyzes the data
81.44	4.16	so the perspective of the analyst and
83.52	3.36	developer is going to go last it's going
85.60	2.40	we're going to take only very little
86.88	3.76	time there
88.00	3.68	because my goal here is to show that
90.64	2.24	although
91.68	3.04	this
92.88	4.32	project management tool is not
94.72	4.08	specifically designed for projects
97.20	4.24	without
98.80	4.24	code it could if you wanted be used in
101.44	4.64	that way
103.04	4.40	so one other objective is to basically
106.08	3.92	watch the
107.44	4.08	automation that leaves
110.00	4.40	that you know that happens on this
111.52	5.76	framework the idea that work happens and
114.40	4.80	the status of that work is automatically
117.28	2.80	shown on the
119.20	1.76	tool
120.08	2.80	and
120.96	4.08	how you can also track
122.88	5.28	what has been actually done in relation
125.04	6.32	to different issues of the project by
128.16	5.12	basically clicking on on links that are
131.36	3.60	kind of left behind
133.28	4.16	as people work
134.96	4.16	so let's start then with the perspective
137.44	3.68	of the project manager
139.12	3.44	the very first thing you could do is to
141.12	2.80	create a github account if you don't
142.56	3.60	have one
143.92	3.52	luckily it's free so no big deal there
146.16	2.16	and all the features that i'm going to
147.44	2.72	show
148.32	2.64	they are available for
150.16	3.52	free
150.96	5.12	accounts including those that
153.68	3.92	relate to keeping everything private and
156.08	3.12	which is the default of creating
157.60	3.36	projects so when you create a project in
159.20	4.56	an organization so here for example i
160.96	4.56	have a github organization which is a
163.76	4.80	collection of you can think of it as a
165.52	5.28	collection of folders that live on
168.56	4.72	github on this website or you can
170.80	4.80	imagine it as similar to a dropbox
173.28	3.60	account where inside that dropbox
175.60	3.12	account you have a bunch of little
176.88	3.36	folders right so that is a github
178.72	4.24	organization so here i have one that i
180.24	5.36	use for demos it's called an org
182.96	4.56	and you will see in the middle that
185.60	3.36	there is a tab called project so if you
187.52	2.96	click there
188.96	4.24	you will see
190.48	5.04	the the page that allows you to create a
193.20	4.40	project the green button here that's
195.52	5.28	what you want you click there
197.60	5.76	and immediately you would get
