start	duration	text
1.000	6.640	here is a tip to help you review pool requests more quickly so here you can see that there is
7.640	7.200	a line right here that I would like to add a suggestion for a change and I've done it here
14.840	6.040	and you can see that the line in red is what it was before and then line in green is what it is
20.880	5.240	now and you can see this convenient menu that shows that you know the person who is receiving
26.120	6.040	the review can now choose to either commit the suggestion directly or they can uh a suggestion
40.164	6.440	on anything that can be one line or multiple lines that you want to change or to comment on you will
46.604	6.960	see this icon which is very easy to miss clicking that icon actually adds the magic which is simply
53.564	5.760	a code chunk with a label suggestion so you don't really need the icon in any comment on a PO
59.324	5.200	request you can type you know backtick back tick backtick suggestion and then create that type of
64.524	6.040	Chunk that will become the interface that allows the person receiving the review to either commit
70.564	5.320	directly or add that change to a batch and then from there you know you can either you know start
75.884	5.680	a review if you think you're going to make more suggestions or add this as a single um comment
