id	status	file	lang
-9QCNwmpTOE	missing		
-HTH2ylnT7Q	missing		
-HtB6duQnD8	missing		
-L2A_7XvD6Y	missing		
-ho1CfoMHKQ	missing		
0-zQ69P6VsY	missing		
00i28kdk8cM	missing		
0qUs4hi7ozo	missing		
16Xn0ueeP-E	missing		
1lpcCHfozh0	missing		
26hbyVb00xs	missing		
2Lcba2K8j6M	missing		
2WBj5Oex_Fc	missing		
3_0gUMqKikw	missing		
3rf1W9ceKhU	missing		
4AOKCiAh3NM	missing		
4IXcu1g0zfk	missing		
5gmTK8Cb-WE	missing		
5wHl9N4fBBU	missing		
7igKU5JVmxM	missing		
9JcJFber21w	missing		
9yrckf6Km-U	missing		
AFuVF0oWFMY	missing		
AUIJif93OJA	missing		
A_Q6nmUhcGA	missing		
AxpkFkfTF8o	missing		
BAS8yfLBnog	missing		
BOcl8iuiDvU	missing		
BYtt2cXW4qg	missing		
C0VuGkBZeKw	missing		
C27MVWqWSMs	missing		
C29QThEYbYY	missing		
CLCn5ZkCbrg	missing		
CRcK0SCxGBQ	missing		
CvOVn2zwi3k	missing		
DVmvsZk-9F4	missing		
DeLK1OKNQlw	missing		
DfVoYtCQlfU	missing		
EB6ODnkdG7A	missing		
EaJqUQkDo48	missing		
EmDubkF8DpQ	missing		
F7JiD7oT4P8	missing		
F92p3elUUSE	missing		
FPZfMUwV73o	missing		
GDgir1XXOkw	missing		
H4ucsYPrC0g	missing		
H9lARi3re9I	missing		
HJCUlCgEnqM	missing		
Hv6DzT6Z2yA	missing		
JXfEWLZXwXY	missing		
JdFA31-vJUE	missing		
JqqrPZdWXfQ	missing		
KxybJ_zVJUA	missing		
MJZ7ZsfG5lM	missing		
MU8E_gpylPE	missing		
NF7HPKt55Yk	missing		
NgEocgBUH_A	missing		
NuXgJtl9QDw	missing		
OFjlPa7Uqeo	missing		
O_tkgjsUT6g	missing		
OieR0VDxSRk	missing		
OofNbCXEVgU	missing		
PHFOEKXPaxI	missing		
PRKOMCCOlI0	missing		
Pi__2Hze4_0	missing		
Q9S7CvXu3KY	missing		
QxgEn2fwIOk	missing		
RO-OdWXfpBc	missing		
S4GyNTwj_sc	missing		
SXEXcXE6Ke0	missing		
TEUbVjhooIg	missing		
UR4vwDkJMhc	missing		
UeECMfOFIHk	missing		
Ulz8Vfnr2P4	missing		
V2oSfukR4mw	missing		
VA3qaeTKTYk	missing		
VCHu0uhGo2g	missing		
VRG95a4aBW4	missing		
WBmLuUV5BEE	missing		
WmzqpTZtFAw	missing		
XG8DetPZP4c	missing		
XRF9tge--9I	missing		
YDsoKUVsJls	missing		
YlBnarQNRR8	missing		
_Cl4odbiG78	ok	transcripts/_Cl4odbiG78.en-orig.json3	en-orig
_pBqBfjTKI4	ok	transcripts/_pBqBfjTKI4.en-orig.json3	en-orig
_y_vnRM19lc	ok	transcripts/_y_vnRM19lc.en-orig.json3	en-orig
bKRFCOkmpiw	missing		
bR0RYYwiDRM	missing		
c3jANTGkB1U	missing		
cKAXDJq5ZdA	missing		
ciJpIWs3t3k	missing		
co082qNN_Cs	missing		
dV9C2eIo5QQ	missing		
dZOfEF19yDk	missing		
eQ-BFO3eZX8	missing		
eeUZ8dHsmG8	missing		
ek3b0m1iCdk	missing		
erv1yJaNID8	missing		
fnfeYPPG9gM	missing		
g1PRMaTFYdk	missing		
gGXwszGqZxM	missing		
h6koYxwQFuE	missing		
hRUvGna0uK0	missing		
hs_Pzxny7XE	missing		
iNWBG3x4QVc	missing		
iYlKc0BTjBk	missing		
jAkNwaGRku0	missing		
jYvJO2lENbY	missing		
jyBv5ITO718	missing		
k8GykC4ZXW0	missing		
kNV8dDGF7Hw	missing		
kS_0s0eS1Xw	missing		
kgGCNGLyqdg	missing		
lfhuO71ikQE	missing		
lq6ZhPFVLTY	missing		
mamqEBZpbtw	missing		
moAei68dxr0	missing		
nL3Qr7bvlg4	missing		
nSJT8NGhSTs	missing		
o9ZHNEl8UI8	missing		
ovbwghDjxV8	missing		
p-p_4ZcDIGw	missing		
pCo14eM-KkQ	missing		
pbc6NX1n01Q	missing		
pxxcuZH9_yA	missing		
q-hsaxVA1kc	missing		
q17jsQrBPt0	missing		
qY5ForDjgGY	missing		
qqKhQdejUOM	missing		
qvQ_YmyjK0U	missing		
rirpOpTYVg4	missing		
sPE6MLGUPy4	missing		
sbp5Q8niTho	missing		
tLvRWRWeQK4	missing		
tbvsaXwtcPU	missing		
tetgpXHal5s	missing		
uDx9NkoBqv8	missing		
uk-I5WrZsAc	missing		
vpAW3j5zbX0	missing		
wJnI0F_A-bU	missing		
xW05GsfhuiY	missing		
xx5WNZgQEdY	missing		
xxtpMXvVM3s	missing		
xyNydg5IUok	missing		
yMPV9TPH3GI	missing		
yOJZHRGF3Bk	missing		
yldd8trFbaQ	missing		
z4RAuGrAm8c	missing		
zC31jaKp1jQ	missing		
zv5_OSb6lRo	missing		
